loc_id,country,state,city
364,IT                              ,NULL    ,Sorrento                                                        
365,AT                              ,NULL    ,Schwechat                                                       
366,DE                              ,NULL    ,Chemnitz                                                        
367,US                              ,MD      ,Havre De Grace                                                  
368,NO                              ,NULL    ,Tromso                                                          
369,PH                              ,NULL    ,Parañaque                                                      
370,US                              ,CT      ,Stamford                                                        
371,FR                              ,NULL    ,Uberach                                                         
372,US                              ,DE      ,Bethany Beach                                                   
373,GB                              ,GB2     ,"Lostwithiel, Cornwall                                           "
374,BE                              ,NULL    ,Westerlo                                                        
375,NL                              ,NULL    ,Scheveningen                                                    
376,AM                              ,NULL    ,Goris                                                           
377,US                              ,NY      ,New Suffolk                                                     
378,US                              ,AR      ,Paris                                                           
379,NL                              ,NULL    ,Oud Beijerland                                                  
380,DK                              ,NULL    ,Stege                                                           
381,GB                              ,GB6     ,Kinlochleven                                                    
382,NL                              ,NULL    ,Rijswijk                                                        
383,DE                              ,NULL    ,Irlbach                                                         
384,US                              ,SC      ,Lexington                                                       
385,BE                              ,NULL    ,Anzegem                                                         
386,NO                              ,NULL    ,Stavanger                                                       
387,US                              ,OH      ,Independence                                                    
388,US                              ,NC      ,Woodfin                                                         
389,GB                              ,GB2     ,Chelmsford                                                      
390,IT                              ,NULL    ,Piozzo                                                          
391,US                              ,NC      ,Jacksonville                                                    
392,US                              ,NY      ,Lewiston                                                        
393,US                              ,ME      ,Augusta                                                         
394,GB                              ,GB2     ,Aylesbury                                                       
395,ES                              ,NULL    ,Ardales                                                         
396,CA                              ,AB      ,Hinton                                                          
397,GB                              ,GB2     ,Melton Mowbray                                                  
398,US                              ,IA      ,Pella                                                           
399,US                              ,MD      ,Wheaton                                                         
400,DE                              ,NULL    ,Ludwigsstadt                                                    
401,DE                              ,NULL    ,Penig                                                           
402,CZ                              ,NULL    ,Břeclav                                                        
403,NL                              ,NULL    ,Groede                                                          
404,US                              ,NY      ,Valatie                                                         
405,FR                              ,NULL    ,Nantes                                                          
406,US                              ,NY      ,Eldred                                                          
